  
       XFOIL         Version 6.99
  
 Calculated polar for: NACA 5033                                       
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.000 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
 -10.000  -0.8271   0.00000  -0.00317   0.0035   0.0000   0.0000
  -7.500  -0.4757   0.00000  -0.00316  -0.0075   0.0000   0.0000
  -5.000  -0.1233   0.00000  -0.00316  -0.0200   0.0000   0.0000
  -2.500   0.2292   0.00000  -0.00316  -0.0340   0.0000   0.0000
   0.000   0.5814   0.00000  -0.00317  -0.0492   0.0000   0.0000
   2.500   0.9324   0.00000  -0.00318  -0.0655   0.0000   0.0000
   5.000   1.2816   0.00000  -0.00319  -0.0830   0.0000   0.0000
   7.500   1.6285   0.00000  -0.00320  -0.1013   0.0000   0.0000
  10.000   1.9722   0.00000  -0.00321  -0.1204   0.0000   0.0000
  12.500   2.3122   0.00000  -0.00323  -0.1401   0.0000   0.0000
  15.000   2.6478   0.00000  -0.00324  -0.1603   0.0000   0.0000
  17.500   2.9783   0.00000  -0.00326  -0.1809   0.0000   0.0000
  20.000   3.3032   0.00000  -0.00327  -0.2016   0.0000   0.0000
  22.500   3.6218   0.00000  -0.00328  -0.2223   0.0000   0.0000
  25.000   3.9335   0.00000  -0.00328  -0.2428   0.0000   0.0000
