  
       XFOIL         Version 6.99
  
 Calculated polar for: NACA 6148                                       
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.000 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
 -10.000  -0.7846   0.00000  -0.00422   0.0138   0.0000   0.0000
  -7.500  -0.3956   0.00000  -0.00420  -0.0081   0.0000   0.0000
  -5.000  -0.0058   0.00000  -0.00419  -0.0320   0.0000   0.0000
  -2.500   0.3840   0.00000  -0.00417  -0.0577   0.0000   0.0000
   0.000   0.7730   0.00000  -0.00416  -0.0851   0.0000   0.0000
   2.500   1.1606   0.00000  -0.00414  -0.1138   0.0000   0.0000
   5.000   1.5459   0.00000  -0.00413  -0.1438   0.0000   0.0000
   7.500   1.9283   0.00000  -0.00412  -0.1748   0.0000   0.0000
  10.000   2.3071   0.00000  -0.00410  -0.2065   0.0000   0.0000
  12.500   2.6814   0.00000  -0.00409  -0.2386   0.0000   0.0000
  15.000   3.0507   0.00000  -0.00408  -0.2711   0.0000   0.0000
  17.500   3.4141   0.00000  -0.00406  -0.3035   0.0000   0.0000
  20.000   3.7711   0.00000  -0.00404  -0.3357   0.0000   0.0000
  22.500   4.1209   0.00000  -0.00402  -0.3674   0.0000   0.0000
  25.000   4.4629   0.00000  -0.00399  -0.3984   0.0000   0.0000
