  
       XFOIL         Version 6.99
  
 Calculated polar for: NACA 1130                                       
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.600 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -5.000  -0.3192   0.01263   0.00612  -0.0366   0.6251   0.3715
  -4.000  -0.2376   0.01220   0.00563  -0.0313   0.5895   0.3935
  -3.000  -0.1674   0.01205   0.00538  -0.0233   0.5561   0.4161
  -2.000  -0.0942   0.01200   0.00527  -0.0158   0.5254   0.4402
  -1.000  -0.0144   0.01196   0.00520  -0.0095   0.4967   0.4657
   0.000   0.0629   0.01194   0.00519  -0.0028   0.4690   0.4938
   1.000   0.1328   0.01197   0.00524   0.0054   0.4430   0.5236
   2.000   0.2029   0.01215   0.00544   0.0133   0.4182   0.5556
   3.000   0.2830   0.01261   0.00589   0.0188   0.3934   0.5894
   4.000   0.3669   0.01308   0.00648   0.0232   0.3695   0.6281
   5.000   0.4513   0.01382   0.00728   0.0270   0.3461   0.6689
   6.000   0.5334   0.01475   0.00835   0.0308   0.3252   0.7146
   7.000   0.6124   0.01602   0.00976   0.0344   0.3048   0.7630
   8.000   0.6861   0.01773   0.01161   0.0382   0.2850   0.8150
   9.000   0.7527   0.01996   0.01399   0.0424   0.2663   0.8694
  10.000   0.8118   0.02271   0.01692   0.0471   0.2493   0.9232
  11.000   0.8708   0.02632   0.02059   0.0505   0.2325   0.9689
  12.000   0.9603   0.03136   0.02561   0.0452   0.2146   0.9892
  13.000   1.0495   0.03774   0.03197   0.0370   0.1985   0.9970
  14.000   1.0690   0.04382   0.03808   0.0404   0.1870   1.0000
  15.000   1.0729   0.05018   0.04449   0.0458   0.1778   1.0000
  16.000   1.0900   0.05754   0.05190   0.0476   0.1698   1.0000
  17.000   1.1105   0.06548   0.05985   0.0477   0.1626   1.0000
  18.000   1.1377   0.07333   0.06786   0.0466   0.1574   1.0000
