  
       XFOIL         Version 6.99
  
 Calculated polar for: NACA 6764                                       
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.000 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
 -10.000  -0.4888   0.00000  -0.00463  -0.1122   0.0000   0.0000
  -7.500  -0.0590   0.00000  -0.00464  -0.1545   0.0000   0.0000
  -5.000   0.3709   0.00000  -0.00465  -0.1980   0.0000   0.0000
  -2.500   0.8002   0.00000  -0.00466  -0.2422   0.0000   0.0000
   0.000   1.2279   0.00000  -0.00466  -0.2870   0.0000   0.0000
   2.500   1.6533   0.00000  -0.00466  -0.3319   0.0000   0.0000
   5.000   2.0755   0.00000  -0.00465  -0.3765   0.0000   0.0000
   7.500   2.4938   0.00000  -0.00464  -0.4207   0.0000   0.0000
  10.000   2.9073   0.00000  -0.00462  -0.4639   0.0000   0.0000
  12.500   3.3154   0.00000  -0.00459  -0.5060   0.0000   0.0000
  15.000   3.7171   0.00000  -0.00456  -0.5465   0.0000   0.0000
  17.500   4.1117   0.00000  -0.00452  -0.5852   0.0000   0.0000
  20.000   4.4985   0.00000  -0.00447  -0.6218   0.0000   0.0000
  22.500   4.8768   0.00000  -0.00441  -0.6559   0.0000   0.0000
  25.000   5.2458   0.00000  -0.00435  -0.6874   0.0000   0.0000
