  
       XFOIL         Version 6.99
  
 Calculated polar for: NACA 3226                                       
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.500 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -5.000  -0.1748   0.01348   0.00608  -0.0595   0.6378   0.1712
  -4.000  -0.1195   0.01182   0.00503  -0.0495   0.5993   0.3331
  -3.000  -0.0370   0.01133   0.00478  -0.0436   0.5611   0.4302
  -2.000   0.0543   0.01129   0.00470  -0.0393   0.5235   0.4825
  -1.000   0.1440   0.01138   0.00471  -0.0347   0.4851   0.5265
   0.000   0.2311   0.01155   0.00484  -0.0297   0.4469   0.5723
   1.000   0.3105   0.01179   0.00507  -0.0233   0.4102   0.6200
   2.000   0.3908   0.01231   0.00561  -0.0175   0.3734   0.6777
   3.000   0.4741   0.01312   0.00641  -0.0128   0.3404   0.7315
   4.000   0.5572   0.01409   0.00744  -0.0084   0.3161   0.7917
   5.000   0.6378   0.01525   0.00873  -0.0038   0.2993   0.8567
   6.000   0.7130   0.01670   0.01029   0.0018   0.2881   0.9223
   7.000   0.8039   0.01862   0.01216   0.0034   0.2782   0.9732
   8.000   0.9412   0.02075   0.01427  -0.0051   0.2708   0.9912
   9.000   1.0615   0.02295   0.01639  -0.0114   0.2636   1.0000
  10.000   1.0960   0.02444   0.01787  -0.0012   0.2587   1.0000
  11.000   1.1533   0.02659   0.02009   0.0038   0.2539   1.0000
  12.000   1.2206   0.02911   0.02259   0.0064   0.2486   1.0000
  13.000   1.2916   0.03185   0.02540   0.0081   0.2437   1.0000
  14.000   1.3486   0.03556   0.02927   0.0100   0.2388   1.0000
  15.000   1.4124   0.03901   0.03272   0.0110   0.2336   1.0000
  16.000   1.4603   0.04385   0.03777   0.0122   0.2287   1.0000
  17.000   1.4985   0.04971   0.04382   0.0128   0.2233   1.0000
  18.000   1.5544   0.05407   0.04822   0.0129   0.2178   1.0000
